
MC properties:
   MC Sweeps:       70000
   Mesh disp:       1.500000
   Bias type:       Minimum
   Bias strength:   20.000000
   Bias location:   29.304348
   InitialHeight:   29.304348
   RandSeed:        2
   Boundary Cond:   Frame

Mesh Properties:
   Bending Modulus: 20.000000
   Lx:              840.000000
   Ly:              840.000000
   Node nums in x:  70
   Node nums in y:  70

Particle Properties:
   Ptype num:       3
   Lengths:         3.5 17.5 20.0 7.5 17.5 30.0
   Binding str:     10.5 0.0 4.75
   Binding ranges:  4.0 0.0 4.0
   Densities:       200.0 4000.0 500.0 200.0 7520.0 480.0
   PDiam:           4.000000

Output Options:
   Tag:             Z_29.304347826086957
   OutputDir:       ../Simulation_Results/
   Framenums:       0
   Datanums:        50000
   Histbnums:       0

Restart Info:
   Inputfilename:   None
   Equil option:    No

Error Check:        Naw

#Sweep(1) TAcc(2) NAcc(3) SHAcc(4) TotE(5) MeshE(6) BiasE(7) Veff(8) ZBot(9) ZTop(10) TotAreaBot(11) TotAreaTop(12) TotPop(13) TotPopBot(14) TotPopTop(15) ThetaValTop(16) ThetaValBot(17) NBot1(18) NBot2(19) NBot3(20) NTop1(21) NTop2(22) NTop3(23) Bonds1(24) Bonds2(25) Bonds3(26) 
39 0.55 0.55 0.49 2496.496983 2096.710016 0.698564 399.088404 -15.689831 17.035002 705600.000000 708135.292436 1001.706805 352.216351 649.490453 29.193399 0.672585 16.914655 298.212487 37.089209 17.012511 595.130379 37.347563 0.000000 0.000000 0.000000 
40 0.55 0.55 0.49 2581.659548 2182.304655 0.828330 398.526563 -15.689831 17.024669 705600.000000 708151.865410 1001.657518 352.172365 649.485153 29.165986 0.667419 16.912218 298.177289 37.082858 17.010485 595.057888 37.416780 0.000000 0.000000 0.000000 
41 0.55 0.55 0.49 2553.554068 2154.543431 0.789142 398.221495 -15.693452 16.998882 705600.000000 708252.401954 1001.794427 352.321528 649.472899 29.169606 0.652715 16.911275 298.328064 37.082189 17.009735 595.196530 37.266634 0.000000 0.000000 0.000000 
42 0.55 0.55 0.49 2625.530795 2221.856267 4.234774 399.439754 -15.693452 17.007513 705600.000000 708301.718542 1001.890713 352.405608 649.485105 28.868281 0.657030 16.916597 298.396336 37.092675 17.014101 595.341971 37.129033 0.000000 0.000000 0.000000 
43 0.55 0.55 0.49 2562.624148 2161.027953 2.698227 398.897968 -15.693452 17.016031 705600.000000 708331.694421 1001.883857 352.406166 649.477691 28.968124 0.661289 16.915670 298.402861 37.087636 17.012233 595.314931 37.150527 0.000000 0.000000 0.000000 
44 0.55 0.55 0.49 2602.326787 2224.530654 1.325969 376.470164 -16.018002 17.249063 705600.000000 708443.147028 1002.032744 352.888863 649.143881 29.521959 0.615530 16.857904 299.100981 36.929978 16.935919 594.689866 37.518096 0.000000 0.000000 0.000000 
45 0.55 0.55 0.50 2696.270300 2329.352691 0.274620 366.642989 -16.204937 17.248860 705600.000000 708544.541849 1002.274122 353.286518 648.987605 29.293916 0.521961 16.832138 299.593583 36.860797 16.902854 594.608286 37.476465 0.000000 0.000000 0.000000 
46 0.55 0.55 0.49 2647.463449 2283.377030 0.811460 363.274959 -16.204937 17.263264 705600.000000 708514.869452 1002.335244 353.400113 648.935131 29.467358 0.529163 16.821787 299.738452 36.839874 16.891481 594.558540 37.485110 0.000000 0.000000 0.000000 
47 0.55 0.55 0.49 2624.231184 2267.911165 0.413517 355.906502 -16.204937 17.417564 705600.000000 708529.579419 1002.553297 353.737670 648.815627 29.352254 0.606313 16.801592 300.142323 36.793755 16.866776 594.538969 37.409882 0.000000 0.000000 0.000000 
48 0.55 0.55 0.49 2608.789747 2251.868118 0.490358 356.431271 -16.204937 17.440797 705600.000000 708499.116862 1002.568015 353.745561 648.822454 29.230686 0.617930 16.804956 300.142877 36.797727 16.868598 594.571325 37.382531 0.000000 0.000000 0.000000 
49 0.55 0.55 0.49 2526.115064 2173.187342 0.544989 352.382733 -16.204937 17.506617 705600.000000 708464.954472 1002.626132 353.865737 648.760395 29.226439 0.650840 16.794173 300.301787 36.769777 16.854889 594.492916 37.412590 0.000000 0.000000 0.000000 
50 0.55 0.55 0.50 2534.290871 2187.805053 0.496571 345.989247 -16.204937 17.611176 705600.000000 708433.740694 1002.782570 354.123923 648.658647 29.314823 0.703119 16.776007 300.621159 36.726757 16.833380 594.440763 37.384503 0.000000 0.000000 0.000000 
51 0.55 0.55 0.50 2567.199452 2222.289373 0.578296 344.331783 -16.204937 17.615914 705600.000000 708441.828367 1002.841415 354.210073 648.631342 29.367823 0.705489 16.770622 300.727678 36.711774 16.827838 594.447661 37.355842 0.000000 0.000000 0.000000 
52 0.55 0.55 0.50 2513.091473 2169.490805 0.505977 343.094690 -16.204937 17.618003 705600.000000 708487.811434 1002.874626 354.263066 648.611560 29.322772 0.706533 16.766490 300.795802 36.700774 16.823680 594.441273 37.346607 0.000000 0.000000 0.000000 
53 0.55 0.55 0.50 2554.311768 2211.651605 0.526300 342.133863 -16.204937 17.627201 705600.000000 708581.165957 1002.935130 354.341372 648.593758 29.272261 0.711132 16.762862 300.872970 36.705541 16.820542 594.475278 37.297938 0.000000 0.000000 0.000000 
54 0.55 0.55 0.51 2559.244874 2235.076530 1.020393 323.147952 -16.204937 17.889330 705600.000000 708624.343299 1003.398735 355.107291 648.291444 29.179628 0.842196 16.714983 301.802778 36.589529 16.756675 594.313659 37.221110 0.000000 0.000000 0.000000 
55 0.55 0.55 0.51 2564.896768 2244.113973 0.879304 319.903490 -16.204937 17.917379 705600.000000 708648.989027 1003.492887 355.253769 648.239118 29.218852 0.856221 16.704012 301.987837 36.561920 16.745786 594.304795 37.188537 0.000000 0.000000 0.000000 
56 0.56 0.56 0.50 2478.438746 2178.457407 1.114066 298.867273 -16.459387 17.933373 705600.000000 708665.781635 1004.001999 356.098459 647.903540 29.473302 0.736993 16.640980 303.007206 36.450273 16.675047 594.132133 37.096360 0.000000 0.000000 0.000000 
57 0.56 0.56 0.50 2537.517593 2240.261568 1.120118 296.135907 -16.459387 17.941562 705600.000000 708688.100735 1004.082678 356.223148 647.859530 29.473302 0.741088 16.631809 303.167826 36.423513 16.665878 594.125954 37.067698 0.000000 0.000000 0.000000 
58 0.56 0.56 0.51 2527.227797 2252.405095 0.943507 273.879195 -16.692882 17.964561 705600.000000 708788.602383 1004.680874 357.180048 647.500826 29.468545 0.635840 16.563379 304.304746 36.311922 16.591171 594.010304 36.899351 0.000000 0.000000 0.000000 
59 0.56 0.56 0.52 2560.389163 2296.630401 6.795590 256.963172 -16.692882 18.167756 705600.000000 708786.841513 1005.114476 357.885638 647.228838 29.863444 0.737437 16.512377 305.129062 36.244199 16.534368 593.899354 36.795116 0.000000 0.000000 0.000000 
60 0.56 0.56 0.52 2559.680585 2304.703457 0.979956 253.997171 -16.692882 18.176042 705600.000000 708852.837229 1005.199811 358.019347 647.180464 29.450979 0.741580 16.501426 305.282802 36.235118 16.524434 593.892294 36.763736 0.000000 0.000000 0.000000 
61 0.56 0.56 0.50 2630.862744 2375.735265 1.022195 254.105284 -16.692882 18.193843 705600.000000 708888.803057 1005.188854 358.006588 647.182266 29.455836 0.750481 16.502003 305.257070 36.247515 16.524795 593.884477 36.772994 0.000000 0.000000 0.000000 
62 0.56 0.56 0.50 2656.480012 2423.462773 3.383681 229.633558 -16.926482 18.219272 705600.000000 708952.648767 1005.835922 359.048650 646.787272 29.689436 0.646395 16.425176 306.465011 36.158463 16.442678 593.749202 36.595392 0.000000 0.000000 0.000000 
63 0.56 0.56 0.51 2531.506325 2324.802878 5.695331 201.008117 -17.286202 18.220866 705600.000000 708832.967048 1006.588205 360.264690 646.323515 29.827651 0.467332 16.335760 307.816238 36.112693 16.346689 593.588646 36.388179 0.000000 0.000000 0.000000 
64 0.56 0.56 0.52 2494.433237 2299.125840 0.363611 194.943786 -17.341580 18.223176 705600.000000 708867.819280 1006.749031 360.523223 646.225808 29.396356 0.440798 16.315751 308.123679 36.083794 16.326333 593.556287 36.343189 0.000000 0.000000 0.000000 
65 0.56 0.56 0.52 2505.337026 2308.744142 0.362205 196.230679 -17.341580 18.219980 705600.000000 708824.605565 1006.714971 360.468403 646.246568 29.396356 0.439200 16.320310 308.058754 36.089339 16.330652 593.562869 36.353048 0.000000 0.000000 0.000000 
